be	[ bi ] was	[ wɒz ] been	[ biːn ]	быть
bear	[ beə ]	bore	[ bɔː ]	born	[ bɔːn ]	нести, родить
beat	[ biːt ]	beat	[ biːt ]	beaten	[ ˈbiːtən ]	бить
become	[ bɪˈkʌm ]	became	[ bɪˈkeɪm ]	become	[ bɪˈkʌm ]	стать, сделаться
begin	[ bɪˈɡɪn ]	began	[ bɪˈɡæn ]	begun	[ bɪˈɡʌn ]	начать
bend	[ bend ]	bent	[ bent ]	bent	[ bent ]	гнуть
bet	[ ˈbet ]	bet	[ ˈbet ]	bet	[ ˈbet ]	держать пари
bind	[ baɪnd ]	bound	[ baʊnd ]	bound	[ baʊnd ]	связать
bite	[ baɪt ]	bit	[ bɪt ]	bitten	[ ˈbɪtən ]	кусать
bleed	[ bliːd ]	bled	[ bled ]	bled	[ bled ]	кровоточить
blow	[ bləʊ ]	blew	[ bluː ]	blown	[ bləʊn ]	дуть
break	[ breɪk ]	broke	[ brəʊk ]	broken	[ ˈbrəʊkən ]	ломать
breed	[ briːd ]	bred	[ bred ]	bred	[ bred ]	выращивать, разводить
bring	[ brɪŋ ]	brought	[ ˈbrɔːt ]	brought	[ ˈbrɔːt ]	принести
build	[ bɪld ]	built	[ bɪlt ]	built	[ bɪlt ]	строить
burn	[ bɜːn ]	burnt	[ bɜːnt ]	burnt	[ bɜːnt ]	жечь, гореть
burst	[ bɜːst ]	burst	[ bɜːst ]	burst	[ bɜːst ]	разразиться, взорваться
buy	[ baɪ ]	bought	[ ˈbɔːt ]	bought	[ ˈbɔːt ]	купить
cast	[ kɑːst ]	cast	[ kɑːst ]	cast	[ kɑːst ]	кинуть, лить металл
catch	[ kætʃ ]	caught	[ ˈkɔːt ]	caught	[ ˈkɔːt ]	ловить, поймать
choose	[ tʃuːz ]	chose	[ tʃəʊz ]	chosen	[ ˈtʃəʊzən ]	выбрать
come	[ kʌm ]	came	[ keɪm ]	come	[ kʌm ]	прийти
cost	[ kɒst ]	cost	[ kɒst ]	cost	[ kɒst ]	стоить
creep	[ kriːp ]	crept	[ krept ]	crept	[ krept ]	ползти
cut	[ kʌt ]	cut	[ kʌt ]	cut	[ kʌt ]	резать
deal	[ diːl ]	dealt	[ delt ]	dealt	[ delt ]	иметь дело
dig	[ dɪɡ ]	dug	[ dʌɡ ]	dug	[ dʌɡ ]	копать
do	[ duː ]	did	[ dɪd ]	done	[ dʌn ]	делать
draw	[ drɔː ]	drew	[ druː ]	drawn	[ drɔːn ]	тащить, рисовать
dream	[ driːm ]	dreamt	[ dremt ]	dreamt	[ dremt ]	грезить, мечтать
drink	[ drɪŋk ]	drank	[ dræŋk ]	drunk	[ drʌŋk ]	пить, выпить
drive	[ draɪv ]	drove	[ drəʊv ]	driven	[ ˈdrɪvən ]	гнать, ехать
dwell	[ dwel ]	dwelt	[ dwelt ]	dwelt	[ dwelt ]	обитать, задерживаться
eat	[ iːt ]	ate	[ et ]	eaten	[ ˈiːtən ]	кушать, есть
fall	[ fɔːl ]	fell	[ fel ]	fallen	[ ˈfɔːlən ]	падать
feed	[ fiːd ]	fed	[ fed ]	fed	[ fed ]	кормить
feel	[ fiːl ]	felt	[ felt ]	felt	[ felt ]	чувствовать
fight	[ faɪt ]	fought	[ ˈfɔːt ]	fought	[ ˈfɔːt ]	сражаться, драться
find	[ faɪnd ]	found	[ faʊnd ]	found	[ faʊnd ]	находить
